"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2025","2.48","2.50","2.75","2.25","26.36M","-0.80%"
"05/14/2025","2.50","2.28","2.50","2.28","12.94M","9.65%"
"05/13/2025","2.28","2.08","2.28","2.10","15.70M","9.62%"
"05/12/2025","2.08","1.90","2.09","1.97","5.38M","9.47%"
"05/09/2025","1.90","1.94","1.94","1.90","3.05M","-2.06%"
"05/08/2025","1.94","1.90","1.94","1.90","3.92M","2.11%"
"05/07/2025","1.90","1.90","2.02","1.90","2.53M","0.00%"
"05/06/2025","1.90","1.86","1.97","1.88","3.33M","2.15%"
"05/05/2025","1.86","1.97","1.97","1.86","5.37M","-0.53%"
"05/02/2025","1.87","1.82","1.96","1.82","2.76M","2.75%"
"04/30/2025","1.82","1.81","1.97","1.82","739.91K","0.55%"
"04/29/2025","1.81","1.91","1.92","1.81","1.57M","-5.24%"
"04/28/2025","1.91","1.91","1.91","1.84","2.74M","0.00%"
"04/25/2025","1.91","1.94","1.94","1.91","2.15M","-1.04%"
"04/24/2025","1.93","1.85","2.03","1.85","5.44M","4.32%"
"04/23/2025","1.85","1.75","1.85","1.85","349.77K","5.71%"
"04/22/2025","1.75","1.89","1.89","1.75","1.14M","-7.41%"
"04/17/2025","1.89","1.80","1.89","1.80","1.26M","5.00%"
"04/16/2025","1.80","1.80","1.81","1.75","2.73M","0.00%"
"04/15/2025","1.80","1.80","1.90","1.80","2.17M","0.00%"
"04/14/2025","1.80","1.90","1.96","1.80","1.14M","-5.26%"
"04/11/2025","1.90","1.73","1.90","1.60","4.86M","9.83%"
"04/10/2025","1.73","1.59","1.73","1.60","2.51M","8.81%"
"04/09/2025","1.59","1.59","1.59","1.59","325.24K","0.00%"
"04/08/2025","1.59","1.70","1.70","1.59","1.13M","-6.47%"
"04/07/2025","1.70","1.60","1.70","1.70","1.74M","6.25%"
"04/04/2025","1.60","1.71","1.75","1.60","1.62M","-6.43%"
"04/03/2025","1.71","1.68","1.71","1.68","1.75M","1.79%"
"04/02/2025","1.68","1.68","1.68","1.60","2.03M","0.00%"
"03/28/2025","1.68","1.62","1.70","1.68","1.39M","3.70%"
"03/27/2025","1.62","1.71","1.70","1.62","2.49M","-5.26%"
"03/26/2025","1.71","1.71","1.71","1.71","765.17K","0.00%"
"03/25/2025","1.71","1.70","1.72","1.71","2.12M","0.59%"
"03/24/2025","1.70","1.76","1.70","1.63","1.20M","-3.41%"
"03/21/2025","1.76","1.72","1.76","1.71","1.27M","2.33%"
"03/20/2025","1.72","1.72","1.72","1.72","379.12K","0.00%"
"03/19/2025","1.72","1.80","1.72","1.72","572.85K","-4.44%"
"03/18/2025","1.80","1.78","1.80","1.80","607.94K","1.12%"
"03/17/2025","1.78","1.85","1.78","1.72","1.36M","-3.78%"
"03/14/2025","1.85","1.85","1.85","1.85","909.45K","0.00%"
"03/13/2025","1.85","1.80","1.85","1.83","1.06M","2.78%"
"03/12/2025","1.80","1.69","1.85","1.70","2.75M","6.51%"
"03/11/2025","1.69","1.69","1.69","1.69","719.45K","0.00%"
"03/10/2025","1.69","1.62","1.69","1.65","1.28M","4.32%"
"03/07/2025","1.62","1.62","1.62","1.62","379.03K","0.00%"
"03/06/2025","1.62","1.52","1.62","1.62","719.19K","6.58%"
"03/05/2025","1.52","1.68","1.66","1.52","5.39M","-9.52%"
"03/04/2025","1.68","1.76","1.75","1.68","1.48M","-4.55%"
"03/03/2025","1.76","1.77","1.76","1.65","976.88K","-0.56%"
"02/28/2025","1.77","1.78","1.79","1.69","2.13M","-0.56%"
"02/27/2025","1.78","1.69","1.78","1.69","3.22M","5.33%"
"02/26/2025","1.69","1.72","1.71","1.69","519.96K","-1.74%"
"02/25/2025","1.72","1.71","1.72","1.72","900.11K","0.58%"
"02/24/2025","1.71","1.74","1.72","1.71","2.08M","-1.72%"
"02/21/2025","1.74","1.69","1.74","1.73","1.10M","2.96%"
"02/20/2025","1.69","1.69","1.74","1.69","2.00M","0.00%"
"02/19/2025","1.69","1.70","1.69","1.53","4.89M","-0.59%"
"02/18/2025","1.70","1.70","1.73","1.69","3.82M","0.00%"
"02/17/2025","1.70","1.73","1.73","1.70","3.71M","-1.73%"
"02/14/2025","1.73","1.76","1.77","1.73","4.53M","-1.70%"
"02/13/2025","1.76","1.80","1.82","1.73","5.73M","-2.22%"
"02/12/2025","1.80","1.89","1.84","1.71","6.42M","-4.76%"
"02/11/2025","1.89","1.89","1.89","1.89","2.33M","0.00%"
"02/10/2025","1.89","1.87","1.89","1.89","758.68K","1.07%"
"02/07/2025","1.87","1.88","1.87","1.70","3.93M","-0.53%"
"02/06/2025","1.88","1.88","1.89","1.88","933.84K","0.00%"
"02/05/2025","1.88","1.80","1.89","1.88","3.62M","4.44%"
"02/04/2025","1.80","1.81","1.89","1.80","1.44M","-0.55%"
"02/03/2025","1.81","1.81","1.81","1.81","536.24K","0.00%"
"01/31/2025","1.81","1.90","1.83","1.79","4.07M","-4.74%"
"01/30/2025","1.90","1.89","1.97","1.85","4.20M","0.53%"
"01/29/2025","1.89","1.87","1.90","1.87","1.37M","1.07%"
"01/28/2025","1.87","1.86","1.88","1.87","1.26M","0.54%"
"01/27/2025","1.86","1.95","1.95","1.86","2.23M","-4.62%"
"01/24/2025","1.95","1.95","1.98","1.95","465.00K","0.00%"
"01/23/2025","1.95","1.95","1.98","1.95","2.37M","0.00%"
"01/22/2025","1.95","1.85","1.96","1.95","1.49M","5.41%"
"01/21/2025","1.85","1.90","1.85","1.85","1.00M","-2.63%"
"01/20/2025","1.90","1.95","1.92","1.90","1.80M","-2.56%"
"01/17/2025","1.95","1.96","1.96","1.82","2.64M","-0.51%"
"01/16/2025","1.96","1.95","1.96","1.82","2.41M","0.51%"
"01/15/2025","1.95","1.97","1.95","1.95","1.06M","-1.02%"
"01/14/2025","1.97","2.02","2.02","1.97","3.31M","-2.48%"
"01/13/2025","2.02","1.97","2.02","1.97","4.35M","2.54%"
"01/10/2025","1.97","1.90","1.99","1.86","2.83M","3.68%"
"01/09/2025","1.90","1.85","1.97","1.90","4.42M","2.70%"
"01/08/2025","1.85","1.80","1.97","1.80","13.36M","2.78%"
"01/07/2025","1.80","2.00","2.05","1.80","14.53M","-10.00%"
"01/06/2025","2.00","2.03","2.15","2.00","11.06M","-1.48%"
"01/03/2025","2.03","1.88","2.06","1.89","16.48M","7.98%"
"01/02/2025","1.88","1.82","1.88","1.80","3.39M","3.30%"
"12/31/2024","1.82","1.80","1.86","1.80","3.25M","1.11%"
"12/30/2024","1.80","1.80","1.85","1.80","1.63M","0.00%"
"12/27/2024","1.80","1.82","1.80","1.80","1.13M","-1.10%"
"12/24/2024","1.82","1.82","1.82","1.82","615.57K","0.00%"
"12/23/2024","1.82","1.85","1.85","1.82","3.09M","-1.62%"
"12/20/2024","1.85","1.82","1.85","1.80","1.21M","1.65%"
"12/19/2024","1.82","1.76","1.82","1.76","1.67M","3.41%"
"12/18/2024","1.76","1.76","1.78","1.76","847.89K","0.00%"
"12/17/2024","1.76","1.87","1.87","1.76","727.87K","-5.88%"
"12/16/2024","1.87","1.73","1.87","1.80","767.62K","8.09%"
"12/13/2024","1.73","1.77","1.78","1.73","4.25M","-2.26%"
"12/12/2024","1.77","1.78","1.80","1.77","959.66K","-0.56%"
"12/11/2024","1.78","1.85","1.79","1.78","3.22M","-3.78%"
"12/10/2024","1.85","1.87","1.85","1.85","1.90M","-1.07%"
"12/09/2024","1.87","1.87","1.87","1.87","4.94M","0.00%"
"12/06/2024","1.87","1.85","1.92","1.87","924.20K","1.08%"
"12/05/2024","1.85","1.96","2.15","1.77","8.56M","-5.61%"
"12/04/2024","1.96","1.79","1.96","1.89","5.54M","9.50%"
"12/03/2024","1.79","1.77","1.82","1.79","1.92M","1.13%"
"12/02/2024","1.77","1.93","1.77","1.77","536.48K","-8.29%"
"11/29/2024","1.93","1.93","1.93","1.93","645.48K","0.00%"
"11/28/2024","1.93","1.79","1.93","1.93","819.09K","7.82%"
"11/27/2024","1.79","1.79","1.79","1.79","551.03K","0.00%"
"11/26/2024","1.79","1.80","1.92","1.79","2.57M","-0.56%"
"11/25/2024","1.80","1.78","1.80","1.79","1.70M","1.12%"
"11/22/2024","1.78","1.87","1.90","1.76","1.62M","-4.81%"
"11/21/2024","1.87","1.89","1.90","1.87","2.17M","-1.06%"
"11/20/2024","1.89","1.90","1.91","1.88","1.67M","-0.53%"
"11/19/2024","1.90","1.90","2.05","1.90","3.33M","0.00%"
"11/18/2024","1.90","1.85","1.91","1.86","1.33M","2.70%"
"11/15/2024","1.85","1.90","1.85","1.81","314.98K","-2.63%"
"11/14/2024","1.90","1.89","1.90","1.80","3.18M","0.53%"
"11/13/2024","1.89","1.90","1.90","1.80","2.38M","-0.53%"
"11/12/2024","1.90","1.90","1.90","1.74","9.21M","0.00%"
"11/11/2024","1.90","1.89","1.90","1.77","3.91M","0.53%"
"11/08/2024","1.89","1.75","1.89","1.89","463.22K","8.00%"
"11/07/2024","1.75","1.77","1.90","1.75","4.34M","-1.13%"
"11/06/2024","1.77","1.80","1.88","1.77","5.64M","-1.67%"
"11/05/2024","1.80","1.73","1.89","1.80","5.11M","4.05%"
"11/04/2024","1.73","1.92","1.90","1.73","2.08M","-9.90%"
"11/01/2024","1.92","1.88","2.02","1.80","4.29M","2.13%"
"10/31/2024","1.88","1.82","1.88","1.82","1.37M","3.30%"
"10/30/2024","1.82","1.80","1.82","1.80","2.37M","1.11%"
"10/29/2024","1.80","1.90","1.84","1.73","4.75M","-5.26%"
"10/28/2024","1.90","1.80","1.98","1.72","9.65M","5.56%"
"10/25/2024","1.80","1.89","1.87","1.76","3.51M","-4.76%"
"10/24/2024","1.89","1.90","1.90","1.71","9.44M","-0.53%"
"10/23/2024","1.90","1.85","1.90","1.76","1.51M","2.70%"
"10/22/2024","1.85","1.85","1.85","1.85","256.96K","0.00%"
"10/21/2024","1.85","1.87","1.85","1.82","1.66M","-1.07%"
"10/18/2024","1.87","1.90","1.87","1.87","442.08K","-1.58%"
"10/17/2024","1.90","1.82","2.03","1.82","2.42M","2.70%"
"10/16/2024","1.85","1.90","1.89","1.83","1.84M","-2.63%"
"10/15/2024","1.90","1.90","1.90","1.85","976.30K","0.00%"
"10/14/2024","1.90","1.89","1.90","1.85","1.81M","0.53%"
"10/11/2024","1.89","1.89","1.89","1.89","355.80K","0.00%"
"10/10/2024","1.89","1.85","2.00","1.89","2.29M","2.16%"
"10/09/2024","1.85","1.98","2.17","1.85","5.74M","-6.57%"
"10/08/2024","1.98","1.98","2.00","1.98","4.99M","0.00%"
"10/07/2024","1.98","2.00","2.10","1.92","7.38M","-1.00%"
"10/04/2024","2.00","1.83","2.01","1.85","8.32M","9.29%"
"10/03/2024","1.83","1.83","1.87","1.82","4.77M","0.00%"
"10/02/2024","1.83","1.82","2.00","1.83","5.28M","0.55%"
"09/30/2024","1.82","1.81","1.99","1.82","8.50M","0.55%"
"09/27/2024","1.81","1.96","1.96","1.81","6.03M","1.12%"
"09/26/2024","1.79","1.66","1.79","1.66","10.42M","9.82%"
"09/25/2024","1.63","1.49","1.63","1.63","1.62M","9.40%"
"09/24/2024","1.49","1.65","1.69","1.49","10.66M","-9.70%"
"09/23/2024","1.65","1.69","1.65","1.65","458.47K","-2.37%"
"09/20/2024","1.69","1.63","1.69","1.69","362.16K","3.68%"
"09/19/2024","1.63","1.73","1.73","1.56","5.96M","-5.78%"
"09/18/2024","1.73","1.75","1.80","1.60","3.89M","-1.14%"
"09/17/2024","1.75","1.74","1.78","1.75","3.05M","0.57%"
"09/13/2024","1.74","1.69","1.82","1.61","9.69M","2.96%"
"09/12/2024","1.69","1.70","1.71","1.69","5.28M","-0.59%"
"09/11/2024","1.70","1.66","1.78","1.65","3.15M","2.41%"
"09/10/2024","1.66","1.80","1.80","1.66","8.02M","0.00%"
"09/09/2024","1.66","1.51","1.66","1.65","4.83M","9.93%"
"09/06/2024","1.51","1.38","1.51","1.38","5.27M","9.42%"
"09/05/2024","1.38","1.53","1.55","1.38","25.42M","-9.80%"
"09/04/2024","1.53","1.68","1.70","1.52","22.74M","-8.93%"
"09/03/2024","1.68","1.70","1.71","1.68","6.09M","-1.18%"
"09/02/2024","1.70","1.85","1.93","1.67","16.97M","-8.11%"
"08/30/2024","1.85","1.90","1.90","1.85","8.19M","-2.63%"
"08/29/2024","1.90","1.95","1.95","1.85","1.94M","-2.56%"
"08/28/2024","1.95","1.93","1.95","1.95","893.64K","1.04%"
"08/27/2024","1.93","1.85","1.93","1.85","1.39M","4.32%"
"08/26/2024","1.85","1.90","1.90","1.81","10.52M","-2.63%"
"08/23/2024","1.90","2.00","1.94","1.80","2.21M","-5.00%"
"08/22/2024","2.00","1.92","2.00","1.97","4.52M","4.17%"
"08/21/2024","1.92","1.92","2.00","1.92","2.98M","0.00%"
"08/20/2024","1.92","2.06","2.00","1.92","2.45M","-6.80%"
"08/19/2024","2.06","1.88","2.06","2.06","1.52M","9.57%"
"08/16/2024","1.88","1.85","1.88","1.88","680.70K","1.62%"
"08/15/2024","1.85","1.90","1.85","1.85","586.13K","-2.63%"
"08/14/2024","1.90","1.85","1.90","1.85","1.15M","2.70%"
"08/13/2024","1.85","1.89","1.89","1.85","1.44M","-2.12%"
"08/12/2024","1.89","1.89","1.99","1.89","1.77M","0.00%"
"08/09/2024","1.89","1.89","1.89","1.76","1.69M","0.00%"
"08/08/2024","1.89","1.97","1.89","1.89","791.79K","-4.06%"
"08/07/2024","1.97","1.89","1.98","1.83","2.53M","4.23%"
"08/06/2024","1.89","1.81","1.98","1.71","5.21M","4.42%"
"08/05/2024","1.81","1.85","1.90","1.76","4.83M","-2.16%"
"08/02/2024","1.85","1.76","1.85","1.59","3.04M","5.11%"
"08/01/2024","1.76","1.65","1.80","1.55","2.97M","6.67%"
"07/31/2024","1.65","1.54","1.65","1.60","2.54M","7.14%"
"07/30/2024","1.54","1.66","1.61","1.54","2.28M","-7.23%"
"07/29/2024","1.66","1.67","1.66","1.63","2.45M","-0.60%"
"07/26/2024","1.67","1.58","1.67","1.58","1.43M","5.70%"
"07/25/2024","1.58","1.63","1.65","1.54","2.55M","-3.07%"
"07/24/2024","1.63","1.70","1.70","1.54","3.76M","-4.12%"
"07/23/2024","1.70","1.70","1.87","1.63","4.89M","0.00%"
"07/22/2024","1.70","1.61","1.70","1.57","6.51M","5.59%"
"07/19/2024","1.61","1.60","1.63","1.56","9.75M","-4.17%"
"07/18/2024","1.68","1.72","1.72","1.57","15.13M","-2.33%"
"07/17/2024","1.72","1.80","1.84","1.70","2.33M","-4.44%"
"07/16/2024","1.80","1.84","1.85","1.80","2.92M","-2.17%"
"07/15/2024","1.84","1.72","1.85","1.72","4.25M","6.98%"
"07/12/2024","1.72","1.79","1.84","1.70","2.23M","-3.91%"
"07/11/2024","1.79","1.80","1.80","1.76","6.98M","-0.56%"
"07/10/2024","1.80","1.80","1.84","1.70","7.47M","0.00%"
"07/09/2024","1.80","1.83","1.83","1.80","2.32M","-1.64%"
"07/08/2024","1.83","1.77","1.83","1.77","7.72M","3.39%"
"07/05/2024","1.77","1.76","1.85","1.75","2.50M","0.57%"
"07/04/2024","1.76","1.64","1.76","1.69","4.40M","7.32%"
"07/03/2024","1.64","1.60","1.65","1.58","3.19M","2.50%"
"07/02/2024","1.60","1.65","1.65","1.58","8.31M","-3.03%"
"07/01/2024","1.65","1.64","1.65","1.64","3.04M","0.61%"
"06/28/2024","1.64","1.63","1.64","1.60","6.61M","0.61%"
"06/27/2024","1.63","1.54","1.65","1.52","9.89M","5.84%"
"06/26/2024","1.54","1.40","1.54","1.45","9.61M","10.00%"
"06/25/2024","1.40","1.40","1.42","1.40","1.44M","0.00%"
"06/24/2024","1.40","1.34","1.45","1.36","3.51M","4.48%"
"06/21/2024","1.34","1.37","1.47","1.30","1.99M","-2.19%"
"06/20/2024","1.37","1.37","1.37","1.27","4.51M","0.00%"
"06/19/2024","1.37","1.37","1.37","1.27","1.98M","0.00%"
"06/14/2024","1.37","1.30","1.38","1.26","4.22M","5.38%"
"06/13/2024","1.30","1.25","1.36","1.25","9.84M","4.00%"
"06/11/2024","1.25","1.14","1.25","1.17","4.56M","9.65%"
"06/10/2024","1.14","1.14","1.14","1.14","1.35M","0.00%"
"06/07/2024","1.14","1.08","1.14","1.09","746.35K","5.56%"
