"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2024","0.61","0.61","0.61","0.61","","0.00%"
"10/07/2024","0.61","0.61","0.61","0.61","","0.00%"
"10/04/2024","0.61","0.61","0.61","0.61","","0.00%"
"10/03/2024","0.61","0.61","0.61","0.61","","0.00%"
"10/02/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/30/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/27/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/26/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/25/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/24/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/23/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/20/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/19/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/18/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/17/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/13/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/12/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/11/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/10/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/09/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/06/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/05/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/04/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/03/2024","0.61","0.61","0.61","0.61","","0.00%"
"09/02/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/31/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/30/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/29/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/28/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/27/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/26/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/23/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/22/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/21/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/20/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/19/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/16/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/15/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/14/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/13/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/12/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/09/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/08/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/07/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/06/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/05/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/02/2024","0.61","0.61","0.61","0.61","","0.00%"
"08/01/2024","0.61","0.61","0.61","0.61","","0.00%"
"07/31/2024","0.61","0.61","0.61","0.61","","0.00%"
