"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2023","328.00","328.00","328.00","328.00","57.12K","0.00%"
"11/15/2023","328.00","328.00","328.00","328.00","79.16K","0.00%"
"11/14/2023","328.00","328.00","328.00","328.00","255.47K","0.00%"
"11/13/2023","328.00","328.00","328.00","328.00","137.69K","0.00%"
"11/10/2023","328.00","328.00","328.00","328.00","81.75K","0.00%"
"11/09/2023","328.00","328.00","328.00","328.00","92.25K","0.00%"
"11/08/2023","328.00","328.00","328.00","328.00","59.31K","0.00%"
"11/07/2023","328.00","328.00","328.00","328.00","138.60K","0.00%"
"11/06/2023","328.00","328.00","328.00","328.00","85.06K","0.00%"
"11/03/2023","328.00","328.00","328.00","328.00","228.84K","0.00%"
"11/02/2023","328.00","328.00","328.00","328.00","328.91K","0.00%"
"11/01/2023","328.00","328.00","328.00","328.00","329.50K","0.00%"
"10/31/2023","328.00","328.00","328.00","328.00","409.09K","0.00%"
"10/30/2023","328.00","310.10","328.00","328.00","214.17K","5.77%"
"10/27/2023","310.10","310.10","310.10","310.10","148.80K","0.00%"
"10/26/2023","310.10","310.10","310.10","310.10","246.66K","0.00%"
"10/25/2023","310.10","310.10","310.10","310.10","276.37K","0.00%"
"10/24/2023","310.10","310.10","310.10","310.10","568.12K","0.00%"
"10/23/2023","310.10","310.10","310.10","310.10","44.77K","0.00%"
"10/20/2023","310.10","310.10","310.10","310.10","15.75K","0.00%"
"10/19/2023","310.10","310.10","310.10","310.10","155.87K","0.00%"
"10/18/2023","310.10","310.10","310.10","310.10","117.82K","0.00%"
"10/17/2023","310.10","310.10","310.10","310.10","168.19K","0.00%"
"10/16/2023","310.10","310.10","310.10","310.10","1.07M","0.00%"
"10/13/2023","310.10","310.10","310.10","310.10","170.62K","0.00%"
"10/12/2023","310.10","310.10","310.10","310.10","331.36K","0.00%"
"10/11/2023","310.10","310.10","310.10","310.10","159.29K","0.00%"
"10/10/2023","310.10","310.10","310.10","310.10","196.70K","0.00%"
"10/09/2023","310.10","310.10","310.10","310.10","78.52K","0.00%"
"10/06/2023","310.10","340.00","310.10","310.10","907.81K","-8.79%"
"10/05/2023","340.00","340.00","340.00","340.00","299.31K","0.00%"
"10/04/2023","340.00","340.00","340.00","340.00","316.14K","0.00%"
"10/03/2023","340.00","340.00","340.00","340.00","81.96K","0.00%"
"09/29/2023","340.00","334.00","340.00","340.00","633.75K","1.80%"
"09/28/2023","334.00","334.00","334.00","334.00","134.65K","0.00%"
"09/26/2023","334.00","334.00","334.00","334.00","9.27K","0.00%"
"09/25/2023","334.00","334.00","334.00","334.00","138.39K","0.00%"
"09/22/2023","334.00","365.00","335.00","334.00","680.28K","-8.49%"
"09/21/2023","365.00","365.00","365.00","365.00","535.41K","0.00%"
"09/20/2023","365.00","365.00","365.00","365.00","32.29K","0.00%"
"09/19/2023","365.00","365.00","365.00","365.00","931.96K","0.00%"
"09/18/2023","365.00","365.00","365.00","365.00","92.36K","0.00%"
"09/15/2023","365.00","365.00","365.00","365.00","1.38M","0.00%"
"09/14/2023","365.00","365.00","365.00","365.00","1.06M","0.00%"
"09/13/2023","365.00","365.00","365.00","365.00","57.41K","0.00%"
"09/12/2023","365.00","365.00","365.00","365.00","337.73K","0.00%"
"09/11/2023","365.00","365.00","365.00","365.00","137.47K","0.00%"
"09/08/2023","365.00","365.00","365.00","365.00","49.65K","0.00%"
"09/07/2023","365.00","370.00","365.00","365.00","816.82K","-1.35%"
"09/06/2023","370.00","369.80","370.00","350.00","1.99M","0.05%"
"09/05/2023","369.80","369.80","369.80","369.80","574.74K","0.00%"
"09/04/2023","369.80","369.80","369.80","369.80","165.51K","0.00%"
